Network,Modularity,Degree,Clustersize,ConnectedComponent,Density,WeightedDegree,ID,Degree_z,WeightedDegree_z,Density_z,Modularity_z,Color
Bipartite_2018-11-08_oo_stat__CMC-Chapaev-3,0.913658688801201,11.2898500416551,0,1,0.000195953311492755,275949.82185504,CMC-Chapaev-3,0.13660485971799,0.0540937763506751,-0.261089505237926,-0.135895972269277,other TEs
Bipartite_2018-11-08_oo_stat__CMC-Chapaev,0.913731871702122,11.2845503031567,0,1,0.000196048476427322,276294.173589757,CMC-Chapaev,0.00248410926854763,0.18583800477338,-0.232343684978185,0.00929954736502624,other TEs
Bipartite_2018-11-08_oo_stat__CMC-EnSpm,0.913760821298168,11.2736997352382,0,1,0.000200328732234668,278007.227641843,CMC-EnSpm,-0.272111762292417,0.841228878654574,1.06056388296121,0.0667358007567515,other TEs
Bipartite_2018-11-08_oo_stat__CMC-Mirage,0.913679737183498,11.2846328407851,0,1,0.000195486138668625,275832.801011658,CMC-Mirage,0.00457289320903856,0.00932321425836642,-0.402205201831662,-0.0941357965095643,other TEs
Bipartite_2018-11-08_oo_stat__CMC-Transib,0.913535616227428,11.2964040052242,0,1,0.000196719211570497,276520.661906835,CMC-Transib,0.30246634751877,0.27248931380411,-0.0297393123130735,-0.380073042007671,other TEs
Bipartite_2018-11-08_oo_stat__CR1-Zenon,0.913684541040945,11.2970128516846,0,1,0.000196200226674388,274889.412782216,CR1-Zenon,0.317874455711705,-0.351604122126901,-0.186505526769927,-0.0846049010469567,other TEs
Bipartite_2018-11-08_oo_stat__CR1,0.915603589701619,11.4196945952841,0,1,0.000208096189574577,268283.313167389,CR1,3.42258755105286,-2.87900680053919,3.40682654351955,3.7228045345691,other TEs
Bipartite_2018-11-08_oo_stat__CRE-Ambal,0.913678901799598,11.2809381929047,0,1,0.000195418750201893,275819.68001663,CRE-Ambal,-0.0889277477213291,0.0043033023720245,-0.422560774618025,-0.0957932055211407,other TEs
Bipartite_2018-11-08_oo_stat__CRE-II,0.913671152556329,11.2902140937852,0,1,0.000195725228725213,275965.975868943,CRE-II,0.145817945402928,0.060274079462394,-0.329984905313141,-0.111167772381583,other TEs
Bipartite_2018-11-08_oo_stat__CRE-Odin,0.913680128166353,11.2869812235848,0,1,0.000195509885911986,275819.580302085,CRE-Odin,0.0640035355963267,0.00426515296151491,-0.395032034609899,-0.0933600830835716,other TEs
Bipartite_2018-11-08_oo_stat__CRE,0.913684482797461,11.2859419938321,0,1,0.000195539303737756,275841.429571364,CRE,0.0377036956381143,0.0126243822974442,-0.386145993381715,-0.0847204566322046,other TEs
Bipartite_2018-11-08_oo_stat__Caulimovirus,0.913626146437187,11.2885618868712,0,1,0.000196353549022825,276031.067939887,Caulimovirus,0.104005461396775,0.0851774088154373,-0.140192494663935,-0.200460308935224,other TEs
Bipartite_2018-11-08_oo_stat__Copia,0.91359080125594,11.1901619455525,0,1,0.000205701506352067,282179.209683646,Copia,-2.38620683449712,2.43737171656672,2.68348097714321,-0.270585459661147,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-A,0.913586810639003,11.2897611039839,0,1,0.000195727555069848,275800.092160466,Crypton-A,0.134354109571345,-0.0031907414691135,-0.329282202316121,-0.278502878792441,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-C,0.913683890745585,11.2834724772231,0,1,0.00019544233760974,275811.627359961,Crypton-C,-0.0247924861900026,0.00122246689891864,-0.415435887815296,-0.0858950927664528,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-F,0.913675195974175,11.2858578159645,0,1,0.000195503972421302,275820.064959812,Crypton-F,0.0355734020827903,0.00445057632874681,-0.396818282255225,-0.103145595782085,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-H,0.913699645385026,11.2856771329993,0,1,0.000195673714075166,275950.988054164,Crypton-H,0.0310008491355831,0.0545399480646923,-0.345545582969711,-0.0546377494313961,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-I,0.913603873922706,11.2883899024551,0,1,0.000195585104692894,275685.778748029,Crypton-I,0.0996530430719262,-0.0469254777911033,-0.372311212428899,-0.244649173722924,other TEs
Bipartite_2018-11-08_oo_stat__Crypton-R,0.913671408020946,11.2863947345631,0,1,0.00019548956827109,275789.801472244,Crypton-R,0.0491612282352225,-0.00712781697385069,-0.401169245295287,-0.11066092833176,other TEs
