Species,variable,value,label,EpiState,EpiVal,Color,variable_fac
Echinococcus multilocularis,Weighted Degree,10560511,E  multilocularis,PIWI,absent,PIWIabsent,Weighted Degree
Echinostoma caproni,Weighted Degree,315550082,E  caproni,PIWI,absent,PIWIabsent,Weighted Degree
Elaeophora elaphi,Weighted Degree,1339085,E  elaphi,PIWI,absent,PIWIabsent,Weighted Degree
Enterobius vermicularis,Weighted Degree,4554885,E  vermicularis,PIWI,absent,PIWIabsent,Weighted Degree
Fasciola hepatica,Weighted Degree,609612743,F  hepatica,PIWI,absent,PIWIabsent,Weighted Degree
Globodera pallida,Weighted Degree,13535504,G  pallida,PIWI,absent,PIWIabsent,Weighted Degree
Gongylonema pulchrum,Weighted Degree,84116736,G  pulchrum,PIWI,absent,PIWIabsent,Weighted Degree
Gyrodactylus salaris,Weighted Degree,7514712,G  salaris,PIWI,absent,PIWIabsent,Weighted Degree
Haemonchus contortus,Weighted Degree,81837701,H  contortus,PIWI,present,PIWIpresent,Weighted Degree
Haemonchus placei,Weighted Degree,49987868,H  placei,PIWI,present,PIWIpresent,Weighted Degree
Heliconius melpomene,Weighted Degree,40260736,H  melpomene,PIWI,present,PIWIpresent,Weighted Degree
Helobdella robusta,Weighted Degree,34920022,H  robusta,PIWI,present,PIWIpresent,Weighted Degree
Heterorhabditis bacteriophora,Weighted Degree,6918205,H  bacteriophora,PIWI,present,PIWIpresent,Weighted Degree
Hydatigera taeniaeformis,Weighted Degree,3657639,H  taeniaeformis,PIWI,absent,PIWIabsent,Weighted Degree
Hymenolepis microstoma,Weighted Degree,14516379,H  microstoma,PIWI,absent,PIWIabsent,Weighted Degree
Hypsibius dujardini,Weighted Degree,9095967,H  dujardini,PIWI,present,PIWIpresent,Weighted Degree
Lepeophtheirus salmonis,Weighted Degree,258727330,L  salmonis,PIWI,present,PIWIpresent,Weighted Degree
Lingula anatina,Weighted Degree,42015423,L  anatina,PIWI,present,PIWIpresent,Weighted Degree
Litomosoides sigmodontis,Weighted Degree,530362,L  sigmodontis,PIWI,absent,PIWIabsent,Weighted Degree
Loa loa,Weighted Degree,7501945,L  loa,PIWI,absent,PIWIabsent,Weighted Degree
Lottia gigantea,Weighted Degree,46641171,L  gigantea,PIWI,present,PIWIpresent,Weighted Degree
Lucilia cuprina,Weighted Degree,73875830,L  cuprina,PIWI,present,PIWIpresent,Weighted Degree
Macrostomum lignano,Weighted Degree,137387320,M  lignano,PIWI,present,PIWIpresent,Weighted Degree
Megaselia scalaris,Weighted Degree,75460346,M  scalaris,PIWI,present,PIWIpresent,Weighted Degree
Melitaea cinxia,Weighted Degree,64088331,M  cinxia,PIWI,present,PIWIpresent,Weighted Degree
Meloidogyne incognita,Weighted Degree,10057174,M  incognita,PIWI,absent,PIWIabsent,Weighted Degree
Mesocestoides corti,Weighted Degree,7450330,M  corti,PIWI,absent,PIWIabsent,Weighted Degree
Mesorhabditis belari,Weighted Degree,28113033,M  belari,PIWI,present,PIWIpresent,Weighted Degree
Mnemiopsis leidyi,Weighted Degree,17804226,M  leidyi,PIWI,present,PIWIpresent,Weighted Degree
Nasonia vitripennis,Weighted Degree,38938321,N  vitripennis,PIWI,present,PIWIpresent,Weighted Degree
Necator americanus,Weighted Degree,31954661,N  americanus,PIWI,present,PIWIpresent,Weighted Degree
Nematostella vectensis,Weighted Degree,54462503,N  vectensis,PIWI,present,PIWIpresent,Weighted Degree
Nippostrongylus brasiliensis,Weighted Degree,54445064,N  brasiliensis,PIWI,present,PIWIpresent,Weighted Degree
Oesophagostomum dentatum,Weighted Degree,56894778,O  dentatum,PIWI,present,PIWIpresent,Weighted Degree
Onchocerca volvulus,Weighted Degree,5824765,O  volvulus,PIWI,absent,PIWIabsent,Weighted Degree
Opisthorchis viverrini,Weighted Degree,132915935,O  viverrini,PIWI,absent,PIWIabsent,Weighted Degree
Panagrellus redivivus,Weighted Degree,2995232,P  redivivus,PIWI,absent,PIWIabsent,Weighted Degree
Parastrongyloides trichosuri,Weighted Degree,1023624,P  trichosuri,PIWI,absent,PIWIabsent,Weighted Degree
Pediculus humanus,Weighted Degree,4530460,P  humanus,PIWI,present,PIWIpresent,Weighted Degree
Plectus sambesii,Weighted Degree,10507768,P  sambesii,PIWI,present,PIWIpresent,Weighted Degree
Poikilolaimus oxycercus,Weighted Degree,11550970,P  oxycercus,PIWI,present,PIWIpresent,Weighted Degree
Pristionchus exspectatus,Weighted Degree,10904859,P  exspectatus,PIWI,present,PIWIpresent,Weighted Degree
Pristionchus pacificus,Weighted Degree,17208519,P  pacificus,PIWI,present,PIWIpresent,Weighted Degree
Protopolystoma xenopodis,Weighted Degree,195711683,P  xenopodis,PIWI,absent,PIWIabsent,Weighted Degree
Rhodnius prolixus,Weighted Degree,139791116,R  prolixus,PIWI,present,PIWIpresent,Weighted Degree
Romanomermis culicivorax,Weighted Degree,67473705,R  culicivorax,PIWI,absent,PIWIabsent,Weighted Degree
Sarcoptes scabiei,Weighted Degree,622882,S  scabiei,PIWI,absent,PIWIabsent,Weighted Degree
Schistocephalus solidus,Weighted Degree,216150687,S  solidus,PIWI,absent,PIWIabsent,Weighted Degree
Schistosoma haematobium,Weighted Degree,122558909,S  haematobium,PIWI,absent,PIWIabsent,Weighted Degree
Schistosoma japonicum,Weighted Degree,136796561,S  japonicum,PIWI,absent,PIWIabsent,Weighted Degree
Schistosoma mansoni,Weighted Degree,137648662,S  mansoni,PIWI,absent,PIWIabsent,Weighted Degree
Schmidtea mediterranea,Weighted Degree,261291486,S  mediterranea,PIWI,present,PIWIpresent,Weighted Degree
Soboliphyme baturini,Weighted Degree,63186155,S  baturini,PIWI,absent,PIWIabsent,Weighted Degree
Solenopsis invicta,Weighted Degree,65368829,S  invicta,PIWI,present,PIWIpresent,Weighted Degree
Spirometra erinaceieuropaei,Weighted Degree,388752683,S  erinaceieuropaei,PIWI,absent,PIWIabsent,Weighted Degree
Steinernema carpocapsae,Weighted Degree,3056693,S  carpocapsae,PIWI,absent,PIWIabsent,Weighted Degree
Steinernema scapterisci,Weighted Degree,1356688,S  scapterisci,PIWI,absent,PIWIabsent,Weighted Degree
Strigamia maritima,Weighted Degree,53262653,S  maritima,PIWI,present,PIWIpresent,Weighted Degree
Strongylocentrotus purpuratus,Weighted Degree,142558043,S  purpuratus,PIWI,present,PIWIpresent,Weighted Degree
Strongyloides ratti,Weighted Degree,2197458,S  ratti,PIWI,absent,PIWIabsent,Weighted Degree
Strongyloides venezuelensis,Weighted Degree,5540955,S  venezuelensis,PIWI,absent,PIWIabsent,Weighted Degree
Strongylus vulgaris,Weighted Degree,36835274,S  vulgaris,PIWI,present,PIWIpresent,Weighted Degree
Syphacia muris,Weighted Degree,724273,S  muris,PIWI,absent,PIWIabsent,Weighted Degree
Taenia asiatica,Weighted Degree,42393887,T  asiatica,PIWI,absent,PIWIabsent,Weighted Degree
Taenia saginata,Weighted Degree,43899972,T  saginata,PIWI,absent,PIWIabsent,Weighted Degree
Teladorsagia circumcincta,Weighted Degree,124339957,T  circumcincta,PIWI,present,PIWIpresent,Weighted Degree
Tetranychus urticae,Weighted Degree,7633424,T  urticae,PIWI,present,PIWIpresent,Weighted Degree
Thelazia callipaeda,Weighted Degree,1850104,T  callipaeda,PIWI,absent,PIWIabsent,Weighted Degree
Thelohanellus kitauei,Weighted Degree,33937411,T  kitauei,PIWI,present,PIWIpresent,Weighted Degree
Toxocara canis,Weighted Degree,12738285,T  canis,PIWI,absent,PIWIabsent,Weighted Degree
Tribolium castaneum,Weighted Degree,21561052,T  castaneum,PIWI,present,PIWIpresent,Weighted Degree
Trichinella nelsoni,Weighted Degree,6643024,T  nelsoni,PIWI,absent,PIWIabsent,Weighted Degree
Trichinella pseudospiralis,Weighted Degree,6769174,T  pseudospiralis,PIWI,absent,PIWIabsent,Weighted Degree
Trichinella spiralis,Weighted Degree,11438841,T  spiralis,PIWI,absent,PIWIabsent,Weighted Degree
Trichobilharzia regenti,Weighted Degree,271128120,T  regenti,PIWI,absent,PIWIabsent,Weighted Degree
Trichoplax adhaerens,Weighted Degree,2191400,T  adhaerens,PIWI,absent,PIWIabsent,Weighted Degree
Trichuris muris,Weighted Degree,21155561,T  muris,PIWI,absent,PIWIabsent,Weighted Degree
Trichuris suis,Weighted Degree,8943897,T  suis,PIWI,absent,PIWIabsent,Weighted Degree
Wuchereria bancrofti,Weighted Degree,1875246,W  bancrofti,PIWI,absent,PIWIabsent,Weighted Degree
Zootermopsis nevadensis,Weighted Degree,63144259,Z  nevadensis,PIWI,present,PIWIpresent,Weighted Degree
