DNMT,Genome,variable,value
-1,Necator_americanus,inactiveSingleton,50
1,Nematostella_vectensis,inactiveSingleton,596
-1,Nippostrongylus_brasiliensis,inactiveSingleton,229
-1,Oesophagostomum_dentatum,inactiveSingleton,182
-1,Onchocerca_volvulus,inactiveSingleton,16
-1,Opisthorchis_viverrini,inactiveSingleton,6
-1,Oscheius_tipulae,inactiveSingleton,43
-1,Panagrellus_redivivus,inactiveSingleton,101
-1,Parastrongyloides_trichosuri,inactiveSingleton,9
1,Pediculus_humanus,inactiveSingleton,17
1,Plectus_sambesii,inactiveSingleton,215
-1,Poikilolaimus_oxycercus,inactiveSingleton,230
-1,Pristionchus_exspectatus,inactiveSingleton,1
-1,Pristionchus_pacificus,inactiveSingleton,10
-1,Protopolystoma_xenopodis,inactiveSingleton,72
-1,Rhabditophanes_kr3021,inactiveSingleton,57
1,Rhodnius_prolixus,inactiveSingleton,241
1,Romanomermis_culicivorax,inactiveSingleton,674
1,Sarcoptes_scabiei,inactiveSingleton,3
-1,Schistocephalus_solidus,inactiveSingleton,12
-1,Schistosoma_haematobium,inactiveSingleton,10
-1,Schistosoma_japonicum,inactiveSingleton,83
-1,Schistosoma_mansoni,inactiveSingleton,5
-1,Schmidtea_mediterranea,inactiveSingleton,858
1,Soboliphyme_baturini,inactiveSingleton,187
1,Solenopsis_invicta,inactiveSingleton,151
-1,Spirometra_erinaceieuropaei,inactiveSingleton,45
1,Stegodyphus_mimosarum,inactiveSingleton,367
-1,Steinernema_carpocapsae,inactiveSingleton,49
-1,Steinernema_scapterisci,inactiveSingleton,3
1,Strigamia_maritima,inactiveSingleton,350
1,Strongylocentrotus_purpuratus,inactiveSingleton,554
-1,Strongyloides_ratti,inactiveSingleton,4
-1,Strongyloides_venezuelensis,inactiveSingleton,36
-1,Strongylus_vulgaris,inactiveSingleton,170
-1,Syphacia_muris,inactiveSingleton,10
-1,Taenia_asiatica,inactiveSingleton,2
-1,Taenia_saginata,inactiveSingleton,2
-1,Teladorsagia_circumcincta,inactiveSingleton,97
1,Tetranychus_urticae,inactiveSingleton,98
-1,Thelazia_callipaeda,inactiveSingleton,8
-1,Thelohanellus_kitauei,inactiveSingleton,222
-1,Toxocara_canis,inactiveSingleton,95
1,Tribolium_castaneum,inactiveSingleton,252
1,Trichinella_nelsoni,inactiveSingleton,1
1,Trichinella_pseudospiralis,inactiveSingleton,23
1,Trichinella_spiralis,inactiveSingleton,7
-1,Trichobilharzia_regenti,inactiveSingleton,222
-1,Trichoplax_adhaerens,inactiveSingleton,45
1,Trichuris_muris,inactiveSingleton,65
1,Trichuris_suis,inactiveSingleton,76
1,Zootermopsis_nevadensis,inactiveSingleton,229
-1,Wuchereria_bancrofti,totalSingleton,0
-1,Acanthocheilonema_viteae,totalSingleton,7
1,Acyrthosiphon_pisum,totalSingleton,460
1,Amphimedon_queenslandica,totalSingleton,475
-1,Ancylostoma_caninum,totalSingleton,12
-1,Ancylostoma_ceylanicum,totalSingleton,15
-1,Anopheles_darlingi,totalSingleton,30
-1,Anopheles_gambiae,totalSingleton,269
1,Apis_mellifera,totalSingleton,19
1,Atta_cephalotes,totalSingleton,87
1,Belgica_antarctica,totalSingleton,53
1,Bombus_impatiens,totalSingleton,114
1,Bombyx_mori,totalSingleton,176
-1,Brugia_malayi,totalSingleton,6
-1,Bursaphelenchus_xylophilus,totalSingleton,111
-1,Caenorhabditis_afra,totalSingleton,35
-1,Caenorhabditis_angaria,totalSingleton,16
-1,Caenorhabditis_brenneri,totalSingleton,75
-1,Caenorhabditis_briggsae,totalSingleton,49
-1,Caenorhabditis_castelli,totalSingleton,12
-1,Caenorhabditis_doughertyi,totalSingleton,75
-1,Caenorhabditis_elegans,totalSingleton,61
-1,Caenorhabditis_japonica,totalSingleton,184
-1,Caenorhabditis_kamaaina,totalSingleton,39
-1,Caenorhabditis_latens,totalSingleton,4
-1,Caenorhabditis_monodelphis,totalSingleton,169
-1,Caenorhabditis_nouraguensis,totalSingleton,9
-1,Caenorhabditis_plicata,totalSingleton,212
-1,Caenorhabditis_remanei,totalSingleton,2
-1,Caenorhabditis_sinica,totalSingleton,52
-1,Caenorhabditis_sp21,totalSingleton,106
-1,Caenorhabditis_sp26,totalSingleton,31
-1,Caenorhabditis_sp28,totalSingleton,24
-1,Caenorhabditis_sp29,totalSingleton,8
-1,Caenorhabditis_sp31,totalSingleton,87
-1,Caenorhabditis_sp32,totalSingleton,56
-1,Caenorhabditis_sp34,totalSingleton,96
-1,Caenorhabditis_sp38,totalSingleton,93
